ItemNo,Description1,client,B408020,B193818
A-UTAE-100BR,ขวด AE 100ml น้ำตาลใส,DEFAULT,300,50
A-UTAE-100BT,ขวด AE (คอยาว) 100ml น้ำตาลใส,DEFAULT,300,50
A-UTAE-100C,ขวด AE 100ml ใส,DEFAULT,300,50
A-UTAE-100GR,ขวด AE 100ml เขียวใส,DEFAULT,300,50
A-UTAE-100W,ขวด AE 100ml ขาว,DEFAULT,300,50
A-UTAE-200BR,ขวด AE 200ml น้ำตาลใส,DEFAULT,150,25
A-UTAE-200C,ขวด AE 200ml ใส,DEFAULT,150,25
A-UTAE-200GR,ขวด AE 200ml เขียวใส,DEFAULT,150,25
A-UTAE-200W,ขวด AE 200ml ขาว,DEFAULT,150,25
A-UTBC-500C,ขวด BC500ml ใส,DEFAULT,40,
A-UTBC-500W,ขวด BC500ml ขาว,DEFAULT,40,
A-UTBIORE-060C,ขวด Biore 60ml ใส,DEFAULT,300,50
A-UTBIORE-060W,ขวด Biore 60ml ขาว,DEFAULT,300,50
A-UTBL-040C,ขวดบอลลูน 40ml ใส,DEFAULT,,50
A-UTBL-300C,ขวดบอลลูน 300ml ใส,DEFAULT,,20
A-UTCK-100BT,ขวด CK100 ดำทึบทึบ,DEFAULT,300,50
A-UTCK-100C,ขวด CK100 ใส,DEFAULT,300,50
A-UTCK-100W,ขวด CK100 ขาว,DEFAULT,300,50
A-UTCK-150BT,ขวด CK150 ดำทึบทึบ,DEFAULT,150,
A-UTCK-150C,ขวด CK150 ใส,DEFAULT,150,
A-UTCK-150W,ขวด CK150 ขาว,DEFAULT,150,
A-UTCK-300BT,ขวด CK300 ดำทึบทึบ,DEFAULT,100,
A-UTCK-300C,ขวด CK300 ใส,DEFAULT,100,
A-UTCK-300W,ขวด CK300 ขาว,DEFAULT,100,
A-UTEE-150C,ขวด EE150 ใส,DEFAULT,150,
A-UTEE-200C,ขวด EE200 ใส,DEFAULT,150,
A-UTEE-200W,ขวด EE200 ขาว,DEFAULT,150,
A-UTEE-250C,ขวด EE250 ใส,DEFAULT,75,
A-UTEE-250W,ขวด EE250 ขาว,DEFAULT,75,
A-UTEE-300BT,ขวด EE300 ดำทึบทึบ,DEFAULT,125,
A-UTEE-300C,ขวด EE300 ใส,DEFAULT,125,
A-UTEE-300W,ขวด EE300 ขาว,DEFAULT,125,
A-UTEE-500C,ขวด EE500 ใส,DEFAULT,60,
A-UTFF-130W,ขวด FF130 ขาว,DEFAULT,,
A-UTFO-500B,ขวด FO500 ดำทึบ,DEFAULT,40,
A-UTFO-500W,ขวด FO500 ขาวทึบ,DEFAULT,40,
A-UTHB-250C,ขวด HB 250 ใส,DEFAULT,150,
A-UTHB-250W,ขวด HB 250 ขาว,DEFAULT,150,
A-UTHB-750C,ขวด HB 750 ใส,DEFAULT,216,
A-UTHB-750W,ขวด HB 750 ขาว,DEFAULT,216,
A-UTHO-150C,ขวด HO150 ใส,DEFAULT,150,
A-UTHO-200C,ขวด HO200 ใส,DEFAULT,200,
A-UTHO-500C,ขวด HO500 ใส,DEFAULT,75,
A-UTJE-100C,ขวด Jerry-100ml ใส,DEFAULT,250,
A-UTJE-300C,ขวด Jerry-300ml ใส,DEFAULT,,
A-UTJE-300W,ขวด Jerry-300ml ขาว,DEFAULT,,
A-UTJE-500C,ขวด Jerry-500ml ใส,DEFAULT,60,
A-UTKE-0100BC,ขวด KE100 ดำใส,DEFAULT,150,
A-UTKE-0100BR,ขวด KE100 ชาใส,DEFAULT,150,
A-UTKE-0100BR,ขวด KE100 ชาใส,DEFAULT,150,
A-UTKE-0100C,ขวด KE100 ใส,DEFAULT,150,
A-UTKE-0100GR,ขวด KE100 เขียว,DEFAULT,150,
A-UTKE-0100P,ขวด KE100 ชมพู,DEFAULT,150,
A-UTKE-0100W,ขวด KE100 ขาว,DEFAULT,150,
A-UTKE-0300BC,ขวด KE300 ดำใส,DEFAULT,150,
A-UTKE-0300Br,ขวด KE300 ชาใส,DEFAULT,150,
A-UTKE-0300BrF,ขวด KE300 ชาพ่นฝ้า,DEFAULT,150,
A-UTKE-0300C,ขวด KE300 ใส,DEFAULT,150,
A-UTKE-0300W,ขวด KE300 ขาว,DEFAULT,150,
A-UTKE-0350Br,ขวด KE350 ชาใส,DEFAULT,75,
A-UTKE-0350BrF,ขวด KE350 ชาพ่นฝ้า,DEFAULT,75,
A-UTKE-0500C,ขวด KE500 ใส,DEFAULT,50,
A-UTKE-0500W,ขวด KE500 ขาว,DEFAULT,50,
A-UTKE-1000C,ขวด KE1000 ใส,DEFAULT,32,
A-UTKI-300C,ขวด KI300 ใส,DEFAULT,75,
A-UTKW-250C,ขวด KW250 ใส,DEFAULT,150,
A-UTLI-010C,ขวด LI10 ใส,DEFAULT,,300
A-UTLI-050C,ขวด LI50 ใส,DEFAULT,150,
A-UTLI-050W,ขวด LI50 ขาว,DEFAULT,150,
A-UTLI-100C,ขวด LI100 ใส,DEFAULT,300,50
A-UTLI-100W,ขวด LI100 ขาว,DEFAULT,300,50
A-UTLI-120C,ขวด LI120 ใส,DEFAULT,150,
A-UTLI-120N,ขวด LI120 สีน้ำเงิน,DEFAULT,150,
A-UTLI-120W,ขวด LI120 ขาว,DEFAULT,150,
A-UTLI-200BR,ขวด LI200 ชา,DEFAULT,100,
A-UTLI-200C,ขวด LI200 ใส,DEFAULT,100,
A-UTLI-250C,ขวด LI250 ใส,DEFAULT,100,
A-UTLU-050C,ขวด LU50 ใส,DEFAULT,400,50
A-UTLU-100C,ขวด LU100 ใส,DEFAULT,150,
A-UTLU-150C,ขวด LU150 ใส,DEFAULT,150,
A-UTLU-150W,ขวด LU150 สีขาวขุ่น,DEFAULT,150,
A-UTLU-300C,ขวด LU300 (DD-LU275) ใส,DEFAULT,,
A-UTLU-400C,ขวด LU400 ใส,DEFAULT,100,
A-UTLUX-1000C,ขวด LUX 1000ml สีใส,DEFAULT,,
A-UTMX-0250C,ขวด MX 250ml สีใส,DEFAULT,75,
A-UTMX-0400C,ขวด MX 400ml สีใส,DEFAULT,50,
A-UTOW-0050C,ขวดOW50mlปาก30 ใส,DEFAULT,,100
A-UTOW-0050W,ขวดOW50mlปาก30 ขาว,DEFAULT,,100
A-UTOW-0100B,ขวดOW100mlปาก43 ดำ,DEFAULT,50,50
A-UTOW-0100C,ขวดOW100mlปาก43 ใส,DEFAULT,50,50
A-UTOW-0100W,ขวดOW100mlปาก43 ขาว,DEFAULT,50,50
A-UTOW-0150B,ขวดOW150mlปาก43 ดำ,DEFAULT,200,
A-UTOW-0150C,ขวดOW150mlปาก43 ใส,DEFAULT,200,
A-UTOW-0150W,ขวดOW150mlปาก43 ขาว,DEFAULT,200,
A-UTOW-0200B,ขวดOW200mlปาก43 ดำ,DEFAULT,100,
A-UTOW-0200C,ขวดOW200mlปาก43 ใส,DEFAULT,100,
A-UTOW-0200W,ขวดOW200mlปาก43 ขาว,DEFAULT,100,
A-UTRM20-0050C,ขวด RM20-50ml ใส,DEFAULT,,100
A-UTRM20-0050W,ขวด RM20-50ml ขาว,DEFAULT,,100
A-UTRM20-0100C,ขวด RM20-100ml ใส,DEFAULT,300,50
A-UTRM20-0100W,ขวด RM20-100ml ขาว,DEFAULT,300,50
A-UTRY-0100C,ขวด RY100 ใส,DEFAULT,300,50
A-UTRY-0250C,ขวด RY250 ใส,DEFAULT,150,
A-UTRY-0500C,ขวด RY500 ใส,DEFAULT,60,
A-UTRY-1000C,ขวด RY1000 ใส,DEFAULT,40,
A-UTSA-010C,ขวด SA 10ml ใส,DEFAULT,,200
A-UTSA-020BR,ขวด SA20 น้ำตาล (คอ20),DEFAULT,300,200
A-UTSA-020W,ขวด SA20 ขาว (คอ20),DEFAULT,300,200
A-UTSA-030(20)B,ขวด SA30 ดำ (คอ20),DEFAULT,100,100
A-UTSA-030(20)C,ขวด SA30 ใส (คอ20),DEFAULT,100,100
A-UTSA-030(20)W,ขวด SA30 ขาว (คอ20),DEFAULT,100,100
A-UTSA-030(20)W-2,ขวด SA30-2 ขาว (คอ20),DEFAULT,100,100
A-UTSA-035(20)BR,ขวด SA35 น้ำตาล (คอ20),DEFAULT,100,100
A-UTSA-035C,ขวด SA35 ใส (คอ20),DEFAULT,100,100
A-UTSA-035G,ขวด SA35 เขียว (คอ20),DEFAULT,100,100
A-UTSA-035N,ขวด SA35 น้ำเงิน (คอ20),DEFAULT,100,100
A-UTSA-035w,ขวด SA35 ขาว (คอ20),DEFAULT,100,100
A-UTSA-050(20)B,ขวด SA50 ดำ (คอ20),DEFAULT,100,100
A-UTSA-050(20)C,ขวด SA50 ใส (คอ20),DEFAULT,100,100
A-UTSA-050(20)W,ขวด SA50 ขาว (คอ20),DEFAULT,100,100
A-UTSA-060C,ขวด SA60 ใส (คอ20),DEFAULT,400,50
A-UTSA-060G,ขวด SA60 สีเขียว (คอ20),DEFAULT,400,50
A-UTSA-060W,ขวด SA60 ขาว (คอ20),DEFAULT,400,50
A-UTSA-075C,ขวด SA75 ใส,DEFAULT,,50
A-UTSA-100C,ขวด SA100 ใส อ้วน,DEFAULT,300,50
A-UTSA-100C (DM),ขวด SA100 ใส (DM),DEFAULT,300,50
A-UTSA-120C,ขวด SA120 ใส,DEFAULT,300,50
A-UTSA-120C,ขวด SA120 ใส,DEFAULT,300,50
A-UTSA-120W,ขวด SA120 ขาว,DEFAULT,300,50
A-UTSA-200CO,ขวด SA200 ใส ทรงอ้วน,DEFAULT,150,
A-UTSA-240C,ขวด SA240 ใส,DEFAULT,100,
A-UTSA-250B,ขวด SA250 ดำทึบ,DEFAULT,100,
A-UTSA-250BR,ขวด SA250 นํ้าตาล,DEFAULT,100,
A-UTSA-250C,ขวด SA250 ใส,DEFAULT,100,
A-UTSA-250W,ขวด SA250 ขาว,DEFAULT,100,
A-UTSA-250W-2,ขวด SA250ML-2 ขาว,DEFAULT,100,
A-UTSA-500C (24),ขวด SA500 ใส (คอ24),DEFAULT,,
A-UTSA-500C (28),ขวด SA500 ใส (คอ28),DEFAULT,,
A-UTSB-050C,ขวด SB50 ใส,DEFAULT,,
A-UTSB-060C,ขวด SB60 ใส,DEFAULT,400,50
A-UTSB-060W,ขวด SB60 ขาว,DEFAULT,400,50
A-UTSB-120BR,ขวด SB120 ชา,DEFAULT,300,50
A-UTSB-120BR2,ขวด SB120 โกโก้ (นํ้าตาลเข้ม),DEFAULT,300,50
A-UTSB-120G,ขวด SB120 สีเขียว,DEFAULT,300,50
A-UTSB-120N,ขวด SB120 สีน้ำเงิน,DEFAULT,300,50
A-UTSB-180BR,ขวด SB180 ชา,DEFAULT,150,
A-UTSB-200W,ขวด SB200 ขาว,DEFAULT,,
A-UTSB-240BR,ขวด SB240 ชา,DEFAULT,100,
A-UTSB-240N,ขวด SB240 สีน้ำเงิน,DEFAULT,100,
A-UTSB-500C,ขวด SB500 ใส,DEFAULT,60,
A-UTSB-500W,ขวด SB500 ขาว,DEFAULT,60,
A-UTSBT-100C,ขวด SBT 100 ใสผอมสูง,DEFAULT,200,50
A-UTSBT-100W,ขวด SBT 100 ขาวผอมสูง,DEFAULT,200,50
A-UTSBT-300W,ขวด SBT 300 ขาว สูงผอม,DEFAULT,75,
A-UTSBU-100C,ขวด SBU 100ml ใส,DEFAULT,400,50
A-UTSBU-100W,ขวด SBU 100ml ขาว,DEFAULT,400,50
A-UTSD-120C,ขวด SD120 ใส,DEFAULT,,
A-UTVR-100M,ขวด VR100ml ม่วง,DEFAULT,,50
A-UTVR-130F,ขวด VR130ml ฟ้า,DEFAULT,,50
A-UTVR-130N,ขวด VR130ml น้ำเงิน,DEFAULT,,50
A-UTVR-130P,ขวด VR130ml ชมพู,DEFAULT,,50
A-UTVR-130Y,ขวด VR130ml เหลือง,DEFAULT,,50
B-CC-FilmM33,แผ่นฟิมล์หดครอบปากขวดยา 33mm,DEFAULT,,1000
B-CC-FilmM38,แผ่นฟิมล์หดครอบปากขวดยา 38mm,DEFAULT,,1000
B-CC-FilmM45,แผ่นฟิมล์หดครอบปากขวดยา 45mm,DEFAULT,,1000
B-CC-Floid36,แผ่นฟรอยด์ปิดปากขวดรีดความร้อน 36mm,DEFAULT,,1000
B-CC-Floid43,แผ่นฟรอยด์ปิดปากขวดรีดความร้อน 43mm,DEFAULT,,1000
B-CC-SEAL23,แผ่นโฟม Seal 23mm,DEFAULT,,1000
B-CC-SEAL27,แผ่นโฟม Seal 27mm,DEFAULT,,1000
B-CC-SEAL31,แผ่นโฟม Seal 31mm,DEFAULT,,1000
B-CC-SEAL345,แผ่นโฟม Seal 34.5mm,DEFAULT,,1000
B-CC-SEAL36,แผ่นโฟม Seal 36mm,DEFAULT,,1000
B-CC-SEAL40,แผ่นโฟม Seal 40mm,DEFAULT,,500
B-CC-SEAL41,แผ่นโฟม Seal 41mm,DEFAULT,,500
B-CC-SEAL43,แผ่นโฟม Seal 43mm,DEFAULT,,500
B-CC-SEAL46,แผ่นโฟม Seal 46mm (PET50),DEFAULT,,500
B-CC-SEAL49,แผ่นโฟม Seal 49mm,DEFAULT,,500
B-CC-SEAL51,แผ่นโฟม Seal 51mm,DEFAULT,,500
B-CC-SEAL66,แผ่นโฟม Seal 66mm (PET68),DEFAULT,,400
B-CC-SEAL88,แผ่นโฟม Seal 88mm (PET89),DEFAULT,,300
B-CHAB-05,แผ่นใสตลับพร 5 กรัม,DEFAULT,,2000
B-CHAB-10,แผ่นใสตลับพร 10 กรัม,DEFAULT,,2000
B-CHAB-265,แผ่นใสตลับพร 3 กรัม 26.5 มิล,DEFAULT,,2000
B-CHAB-330,แผ่นใสตลับพร 33.0mm,DEFAULT,,2000
B-CHFA-05CC,ตลับ FANC 5 กรัม ใส,DEFAULT,,200
B-CHFA-05CC,ตลับ FANC 5 กรัม ใส,DEFAULT,,200
B-CHFA-05FF,ตลับ FANC 5 กรัม ฟ้าชุด,DEFAULT,,200
B-CHFA-05GG,ตลับ FANC 5 กรัม เขืยวชุด,DEFAULT,,200
B-CHFA-05MM,ตลับ FANC 5 กรัม ม่วงชุด,DEFAULT,,200
B-CHFA-05OO,ตลับ FANC 5 กรัม ส้มชุด,DEFAULT,,200
B-CHFA-05PP,ตลับ FANC 5 กรัม ชมพูชุด,DEFAULT,,200
B-CHFA-05YK,ตลับ FANC 5 กรัม เหลืองชุด,DEFAULT,,200
B-CHFA-10FF,ตลับ FANC 10 กรัม ฟ้าชุด,DEFAULT,,150
B-CHFA-10GG,ตลับ FANC 10 กรัม เขียวชุด,DEFAULT,,150
B-CHFA-10PP,ตลับ FANC 10 กรัม ชมพูชุด,DEFAULT,,150
B-CHFA-10YY,ตลับ FANC 10 กรัม เหลืองชุด,DEFAULT,,150
B-CHLIP-10CC,ตลับลิปกรอส 10 กรัม ใสชุด,DEFAULT,,200
B-CHPO-005FF,ตลับพร 5 กรัม ฟ้าชุด,DEFAULT,,200
B-CHPO-005GG,ตลับพร 5 กรัม เขียวชุด,DEFAULT,,200
B-CHPO-005GW,ตลับพร 5 กรัม เขียว-ขาว,DEFAULT,,200
B-CHPO-005KK,ตลับพร 5 กรัม ครีมชุด,DEFAULT,,200
B-CHPO-005OO,ตลับพร 5 กรัม ส้มชุด,DEFAULT,,200
B-CHPO-005OW,ตลับพร 5 กรัม ส้ม-ขาว,DEFAULT,,200
B-CHPO-005PP,ตลับพร 5 กรัม ชมพูชุด,DEFAULT,,200
B-CHPO-005PW,ตลับพร 5 กรัม ชมพู-ขาว,DEFAULT,,200
B-CHPO-005SS,ตลับพร 5 กรัม เงีนชุด,DEFAULT,,200
B-CHPO-005WW,ตลับพร 5 กรัม ชาวชุด,DEFAULT,,200
B-CHPO-005YY,ตลับพร 5 กรัม เหลืองชุด,DEFAULT,,200
B-CHPO-010FF,ตลับพร 10 กรัม ฟ้าชุด,DEFAULT,,100
B-CHPO-010FW,ตลับพร 10 กรัม ฟ้า-ขาว,DEFAULT,,100
B-CHPO-010GG,ตลับพร 10 กรัม เขียวชุด,DEFAULT,,100
B-CHPO-010KK,ตลับพร 10 กรัม ครีมชุด,DEFAULT,,100
B-CHPO-010OO,ตลับพร 10 กรัม ส้มชุด,DEFAULT,,100
B-CHPO-010PP,ตลับพร 10 กรัม ชมพูชุด,DEFAULT,,100
B-CHPO-010PW,ตลับพร 10 กรัม ชมพู-ขาว,DEFAULT,,100
B-CHPO-010SS,ตลับพร 10 กรัม เงีนชุด,DEFAULT,,100
B-CHPO-010WW,ตลับพร 10 กรัม ขาวชุด,DEFAULT,,100
B-CHPO-020FF,ตลับพร 20 กรัม ฟ้าชุด,DEFAULT,,80
B-CHPO-020FW,ตลับพร 20 กรัม ฟ้า-ขาว,DEFAULT,,80
B-CHPO-020GG,ตลับพร 20 กรัม เขียวชุด,DEFAULT,,80
B-CHPO-020GW,ตลับพร 20 กรัม เขียว-ขาว,DEFAULT,,80
B-CHPO-020PP,ตลับพร 20 กรัม ชมพูชุด,DEFAULT,,80
B-CHPO-020PW,ตลับพร 20 กรัม ชมพู-ขาว,DEFAULT,,80
B-CHPO-040FW,ตลับพร 40 กรัม ฟ้า-ขาว,DEFAULT,,80
B-CHPO-040GW,ตลับพร 40 กรัม เขียว-ขาว,DEFAULT,,80
B-CHPO-040PP,ตลับพร 40 กรัม ชมพูชุด,DEFAULT,,80
B-CHPO-040PW,ตลับพร 40 กรัม  ชมพู-ขาว,DEFAULT,,80
B-CHPO-040WW,ตลับพร 40 กรัม ขาวชุด,DEFAULT,,80
B-CHPO-100PW,ตลับพร 100 กรัม ชมพู-ขาว,DEFAULT,,
B-CHPO-100WW,ตลับพร 100 กรัม ขาวชุด,DEFAULT,,
B-CHPO-K020FW,ตลับพร 20 กรัม ฝาครอบฟ้า-ขาว,DEFAULT,,80
B-CHPO-K020PP,ตลับพร 20 กรัม ฝาครอบชมพูฃุด,DEFAULT,,80
B-CHPO-K020PW,ตลับพร 20 กรัม ฝาครอบชมพู-ขาว,DEFAULT,,80
B-CHPO-K020SS,ตลับพร 20 กรัม ฝาครอบเงินฃุด,DEFAULT,,80
B-CHPO-K020WW,ตลับพร 20 กรัม ฝาครอบขาวฃุด,DEFAULT,,80
B-CHPO-K040PP,ตลับพร 40 กรัม ฝาครอบชมพูชุด,DEFAULT,,80
B-CHRA-005FF,ตลับ5กรัมเรนาว A ฟ้าชุด,DEFAULT,,
B-CHRA-005WW,ตลับ5กรัมเรนาว A ขาวชุด,DEFAULT,,
B-GZ01-30W,ตลับ BB Cusion 30 กรัม พร้อมส่วนประกอบ,DEFAULT,150,25
B-GZ02-30WG,ตลับ CC Cusion 30 กรัม ขอบทอง พร้อมส่วนประกอบ,DEFAULT,150,25
B-GZ02-30WS,ตลับ CC Cusion 30 กรัม ขอบเงิน พร้อมส่วนประกอบ,DEFAULT,150,25
B-GZ03-30B,ตลับ DD Cusion 30 กรัม ดำล้วน พร้อมส่วนประกอบ,DEFAULT,150,25
B-GZ04-10B,ตลับ LL Cusion 10 กรัม สีดำ พร้อมส่วนประกอบ,DEFAULT,300,50
B-GZ04-10BR,ตลับ LL Cusion 10 กรัม สีน้ำตาล พร้อมส่วนประกอบ,DEFAULT,300,50
B-GZ04-10P,ตลับ LL Cusion 10 กรัม สีชมพู พร้อมส่วนประกอบ,DEFAULT,300,50
B-GZ04-10W,ตลับ LL Cusion 10 กรัม สีขาว พร้อมส่วนประกอบ,DEFAULT,300,50
B-GZ04-10Y,ตลับ LL Cusion 10 กรัม สีเหลือง พร้อมส่วนประกอบ,DEFAULT,300,50
B-GZBB-30W-Puff,Puff พัฟ ของตลับ BB/CC/DD คูช่น,DEFAULT,,200
B-GZBB-30W-Refill-B,ไส้ตลับรีฟิล BB/CC/DD คูชั่น ดำ,DEFAULT,,100
B-GZBB-30W-Refill-W,ไส้ตลับรีฟิล BB/CC/DD คูชั่น ขาว,DEFAULT,,100
B-GZBB-30W-Ring-B,วงแหวนดำ ของตลับ BB/BB/DD คูชั่น,DEFAULT,,200
B-GZBB-30W-Ring-W,วงแหวนขาว ของตลับ BB/CC/DD คูชั่น,DEFAULT,,200
B-GZBB-30W-Sponge,ฟองน้ำ ของตลับ BB/CC/DD คูชั่น,DEFAULT,,200
B-GZBB-30W-Sticker,Sticker ของตลับ BB/CC/DD คูชั่น,DEFAULT,,50
B-GZLL-10W-Puff,Puff พัฟ ของตลับ LL คูช่น,DEFAULT,,100
B-GZLL-10W-Refill-B,ไส้ตลับรีฟิล LL คูชั่น ดำ,DEFAULT,,100
B-GZLL-10W-Refill-W,ไส้ตลับรีฟิล LL คูชั่น ขาว,DEFAULT,,100
B-GZLL-10W-Ring-B,วงแหวนดำ ของตลับ LL คูชั่น,DEFAULT,,200
B-GZLL-10W-Ring-W,วงแหวนขาว ของตลับ LL คูชั่น,DEFAULT,,200
B-GZLL-10W-Sponge,ฟองน้ำ ของตลับ LL คูชั่น,DEFAULT,,200
B-GZLL-10W-Sponge,ฟองน้ำ ของตลับ LL คูชั่น,DEFAULT,,200
B-GZLL-10W-Sticker,Sticker ของตลับ LL คูชั่น,DEFAULT,,100
C-02PE-0050-CKS,กระปุก 2 ชั้น 50 กรัม (รุ่นมีเคเงิน),DEFAULT,,50
C-02PE-Inner (250),แผ่นใน PVC กระปุก 2 ชั้น (250),DEFAULT,,
C-02PEW-0050Mable,กระปุก 2 ชั้น 50 กรัม ลายหินอ่อนมาร์เบิ้ลขาว,DEFAULT,,50
C-02PEW-0050Maple,กระปุก 2 ชั้น 50 กรัม ลายไม้เมเปิ้ล,DEFAULT,,50
C-02PEW-0050Mapling,กระปุก 2 ชั้น 50 กรัม ลายไม้มะปลิง,DEFAULT,,50
C-02PEW-0050Oak,กระปุก 2 ชั้น 50 กรัม ลายไม้โอ๊ค,DEFAULT,,50
C-02PEW-0050Walnut,กระปุก 2 ชั้น 50 กรัม ลายไม้วอลนัท,DEFAULT,,50
C-02PEW-0150Mapling,กระปุก 2 ชั้น 150 กรัม ลายไม้มะปลิง,DEFAULT,75,
C-02PEW-0250Mable,กระปุก 2 ชั้น 250 กรัม ลายหินอ่อนมาเบิ้ล ขาว,DEFAULT,50,
C-02PEW-0250Maple,กระปุก 2 ชั้น 250 กรัม ลายไม้เมเปิ้ล,DEFAULT,50,
C-02PEW-0250Mapling,กระปุก 2 ชั้น 250 กรัม ลายไม้มะปลิง,DEFAULT,50,
C-02PEW-0250Oak,กระปุก 2 ชั้น 250 กรัม ลายไม้โอ๊ค,DEFAULT,50,
C-02PEW-0250Walnut,กระปุก 2 ชั้น 250 กรัม ลายไม้วอลนัท,DEFAULT,50,
C-ALBT-0010-SS,กระปุกอลูมิเนียม BT 10 กรัม,DEFAULT,,200
C-ALBT-0020-SS,กระปุกอลูมิเนียม BT 20 กรัม,DEFAULT,,
C-ALKI-0010-GG,กระปุกอลูมิเนียม KG 10 กรัม สีทอง,DEFAULT,,200
C-ALKI-0010-SS,กระปุกอลูมิเนียม KG 10 กรัม สีเงิน,DEFAULT,,200
C-ALKI-0020-SS,กระปุกอลูมิเนียม KG 20 กรัม สีเงิน,DEFAULT,,100
C-ALKI-0030-GG,กระปุกอลูมิเนียม KG 30/50 กรัม สีทอง,DEFAULT,,100
C-ALKI-0030-SS,กระปุกอลูมิเนียม KG 30/50 กรัม สีเงิน,DEFAULT,,100
C-ALKI-0060-GG,กระปุกอลูมิเนียม KG 60 กรัม สีทอง,DEFAULT,,50
C-ALKI-0060-SS,กระปุกอลูมิเนียม KG 60 กรัม สีเงิน,DEFAULT,,50
C-ALKI-0100-SS,กระปุกอลูมิเนียม KG 100 กรัม สีเงิน,DEFAULT,150,50
C-ALKI-0150-SS,กระปุกอลูมิเนียม KG 150 กรัม สีเงิน,DEFAULT,100,25
C-ALKI-0200-SS,กระปุกอลูมิเนียม KG 200 กรัม สีเงิน,DEFAULT,75,25
C-B28-005CG,กระปุก B28-5กรัม (ตัวใสฝาชวารอสกี) ฝาทอง,DEFAULT,,150
C-B28-005CP,กระปุก B28-5กรัม (ตัวใสฝาชวารอสกี) ฝาชมพู,DEFAULT,,150
C-B28-005CS,กระปุก B28-5กรัม (ตัวใสฝาชวารอสกี) ฝาเงิน,DEFAULT,,150
C-CHNG-008-FK,ตลับ 8 กรัม งาม ฟ้าชุด,DEFAULT,,100
C-CHNG-008-GMK,ตลับ 8 กรัม งาม เขียวชุด,DEFAULT,,100
C-CHNG-008-GO,ตลับ 8 กรัม งาม ทองชุด,DEFAULT,,100
C-CHNG-008-MK,ตลับ 8 กรัม งาม ม่วงชุด,DEFAULT,,100
C-CHNG-008-OK,ตลับ 8 กรัม งาม ส้มชุด,DEFAULT,,100
C-CHNG-008-PK,ตลับ 8 กรัม งาม ชมพูชุด,DEFAULT,,100
C-CHNG-008-SS,ตลับ 8 กรัม งาม เงินชุด,DEFAULT,,100
C-CHNG-008-WK,ตลับ 8 กรัม งาม ใสชุด (ออกขาวๆ),DEFAULT,,100
C-CHNG-008-YK,ตลับ 8 กรัม งาม เหลืองชุด,DEFAULT,,100
C-DM005-F,กระปุก DM 5g ฟ้า,DEFAULT,,150
C-DM005-GO,กระปุก DM 5g ทอง,DEFAULT,,150
C-DM005-M,กระปุก DM 5g ม่วง,DEFAULT,,150
C-DM005-P,กระปุก DM 5g ชมพู,DEFAULT,,150
C-DM005-S,กระปุก DM 5g เงิน,DEFAULT,,150
C-DM005-W,กระปุก DM 5g ขาว,DEFAULT,,150
C-DM010-F,กระปุก DM 10g ฟ้า,DEFAULT,,100
C-DM010-GO,กระปุก DM 10g ทอง,DEFAULT,,100
C-DM010-M,กระปุก DM 10g ม่วง,DEFAULT,,100
C-DM010-P,กระปุก DM 10g ชมพู,DEFAULT,,100
C-DM010-S,กระปุก DM 10g เงิน,DEFAULT,,100
C-DM010-W,กระปุก DM 10g ขาว,DEFAULT,,100
C-FA21-005BR,กระปุก FA21 5 กรัม ชาใส,DEFAULT,,200
C-FA21-005BRF,กระปุก FA21 5 กรัม ชาฝ้า,DEFAULT,,200
C-FA21-005CF,กระปุก FA21 5 กรัม ใสฝ้า,DEFAULT,,200
C-FA21-010BR,กระปุก FA21 10 กรัม ชาใส,DEFAULT,,200
C-FA21-010BRF,กระปุก FA21 10 กรัม ชาฝ้า,DEFAULT,,200
C-FA21-010C,กระปุก FA21 10 กรัม ใสปิ๊ง,DEFAULT,,200
C-FA21-010CF,กระปุก FA21 10 กรัม ใสฝ้า,DEFAULT,,200
C-FA21-020BR,กระปุก FA21 20 กรัม ชาใส,DEFAULT,,100
C-FA21-020CF,กระปุก FA21 20 กรัม ใสฝ้า,DEFAULT,,100
C-FA21-030BR,กระปุก FA21 30 กรัม ชาใส,DEFAULT,,75
C-FA21-030BRF,กระปุก FA21 30 กรัม ชาฝ้า,DEFAULT,,75
C-FA21-030CF,กระปุก FA21 30 กรัม ใสฝ้า,DEFAULT,,75
C-FA21-050BR,กระปุก FA21 50 กรัม ชาใส,DEFAULT,,50
C-FA21-050BRF,กระปุก FA21 50 กรัม ชาฝ้า,DEFAULT,,50
C-FA21-050CF,กระปุก FA21 50 กรัม ใสฝ้า,DEFAULT,,50
C-FA21-100BR,กระปุก FA21 100 กรัม ชาใส,DEFAULT,,25
C-FA21-100BRF,กระปุก FA21 100 กรัม ชาฝ้า,DEFAULT,,25
C-FA21-100C,กระปุก FA21 100 กรัม ใส,DEFAULT,,25
C-FA21-100CF,กระปุก FA21 100 กรัม ใสฝ้า,DEFAULT,,25
C-FA21-C005BB,ฝา FA21(5/10) ดำเงา,DEFAULT,,300
C-FA21-C005W,ฝา FA21(5/10) ขาวล้วน,DEFAULT,,300
C-FA21-C020BB,ฝา FA21(20) ดำเงา,DEFAULT,,200
C-FA21-C020GG,ฝา FA21(20) ทองเงา,DEFAULT,,200
C-FA21-C020SS,ฝา FA21(20) เงินเงา,DEFAULT,,200
